Team,Location,Against,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
WAS,Home,CHI,240,114,45,97,46.4,5,27,18.5,19,26,73.1,9,30,39,24,8,9,12,18,L
WAS,Away,DEN,240,95,37,92,40.2,6,24,25,15,20,75,9,45,54,24,9,6,12,21,W
WAS,Away,UTA,240,124,48,98,49,15,37,40.5,13,22,59.1,12,30,42,32,11,3,13,18,L
WAS,Away,PHX,240,124,43,90,47.8,9,25,36,29,43,67.4,15,37,52,18,10,3,10,20,W
WAS,Away,LAL,240,106,39,90,43.3,6,32,18.8,22,27,81.5,11,28,39,21,5,4,17,20,L
WAS,Home,MIA,240,108,41,96,42.7,9,30,30,17,23,73.9,21,32,53,25,5,2,12,20,L
WAS,Home,DEN,240,108,40,79,50.6,8,28,28.6,20,21,95.2,6,32,38,25,4,2,12,15,L
WAS,Away,CHI,265,120,44,93,47.3,14,42,33.3,18,23,78.3,12,38,50,25,10,9,16,21,L
WAS,Home,UTA,240,95,34,81,42,8,27,29.6,19,22,86.4,5,29,34,20,9,2,16,16,L
WAS,Home,MEM,240,135,41,81,50.6,17,35,48.6,36,43,83.7,9,36,45,26,6,7,13,21,W
WAS,Home,CHA,240,110,41,84,48.8,13,34,38.2,15,19,78.9,8,37,45,25,8,5,17,14,L
WAS,Home,ORL,240,100,42,90,46.7,8,27,29.6,8,12,66.7,10,36,46,20,5,2,9,13,W
WAS,Home,SAC,240,121,40,86,46.5,14,37,37.8,27,33,81.8,7,40,47,29,12,1,17,25,W
WAS,Away,MIN,265,130,48,100,48,16,44,36.4,18,24,75,10,40,50,31,8,5,19,23,L
WAS,Away,CHA,240,111,40,86,46.5,9,27,33.3,22,26,84.6,13,33,46,28,8,5,14,19,L
WAS,Home,DAL,240,132,50,93,53.8,12,33,36.4,20,25,80,15,34,49,30,3,2,13,26,W
WAS,Home,MIN,240,135,49,98,50,11,33,33.3,26,32,81.3,15,31,46,30,6,4,9,19,W
WAS,Away,BOS,240,96,36,89,40.4,10,38,26.3,14,19,73.7,11,42,53,20,7,6,18,16,L
WAS,Away,BKN,240,125,44,96,45.8,11,37,29.7,26,31,83.9,17,40,57,34,10,4,19,30,W
WAS,Home,IND,240,112,42,79,53.2,13,35,37.1,15,21,71.4,8,24,32,27,15,5,22,23,L
WAS,Away,CHA,240,110,42,97,43.3,10,39,25.6,16,18,88.9,11,32,43,24,6,6,13,20,L
WAS,Away,TOR,240,120,37,84,44,14,40,35,32,39,82.1,4,39,43,27,6,3,18,28,L
WAS,Away,DET,240,112,42,84,50,14,39,35.9,14,19,73.7,7,30,37,31,7,5,14,21,L
WAS,Away,CHI,240,134,55,95,57.9,12,27,44.4,12,14,85.7,6,33,39,38,6,6,13,23,W
WAS,Home,CLE,240,119,46,92,50,12,35,34.3,15,16,93.8,10,38,48,35,10,4,16,19,W
WAS,Away,MIL,240,129,48,92,52.2,17,37,45.9,16,19,84.2,8,32,40,34,6,5,24,23,L
WAS,Home,ATL,240,129,48,97,49.5,12,38,31.6,21,29,72.4,13,27,40,34,5,8,9,20,L
WAS,Home,MIL,240,115,43,93,46.2,10,33,30.3,19,26,73.1,12,34,46,28,6,6,12,19,L
WAS,Home,IND,240,107,41,78,52.6,12,28,42.9,13,21,61.9,8,33,41,27,8,4,15,24,W
WAS,Away,CLE,240,113,42,87,48.3,12,36,33.3,17,23,73.9,3,33,36,31,8,1,6,22,L
WAS,Away,SAS,240,119,40,89,44.9,18,46,39.1,21,29,72.4,8,24,32,32,11,0,9,18,L
WAS,Away,ORL,240,95,35,79,44.3,15,27,55.6,10,12,83.3,5,33,38,26,9,1,12,15,W
